Item Number,Item Title,Item Description,Treatment Friendly Name,Private,Medicare,Vet Affairs,VGDS,VGDS PAT,Surfaces,,,,,,,,,,,,,,,,
377,Repair of soft tissue,An item to describe surgical procedures (including suturing) for the repair of soft tissues.,Removal/repair of soft tissue,0,0,217.65,0,0,,,,,,,,,,,,,,,,,
378,Surgical removal of foreign body,The surgical removal of a foreign body impacted in tissues.,Surgical removal of a foreign body,0,0,123.2,0,0,,,,,,,,,,,,,,,,,
379,Marsupialisation of cyst,The treatment of a cyst by surgically opening it to convert it from an enclosed sac to a partially open pouch.,,,,,,,,,,,,,,,,,,,,,,,
381,Surgical exposure of an unerupted tooth – per tooth,The surgical exposure of an unerupted tooth to facilitate its eruption.,,,,,,,,,,,,,,,,,,,,,,,
382,Surgical exposure and attachment of device for orthodontic traction,Surgical exposure of an unerupted tooth and attachment of a device so that orthodontic traction may be applied.,Surgical exposure/attachment of device for ortho traction,0,0,2,0,0,,,,,,,,,,,,,,,,,
384,Repositioning of displaced tooth/teeth – per tooth,A procedure following trauma where the position of the displaced tooth/teeth is corrected by manipulation.,Surgical repositioning of displaced tooth/teeth - per tooth,0,0,205,0,0,,,,,,,,,,,,,,,,,
385,Surgical repositioning of unerupted tooth – per tooth,Surgical exposure and manipulation of an unerupted tooth to correct its position but not to detach the tooth from its supporting tissues.,,,,,,,,,,,,,,,,,,,,,,,
386,Splinting of displaced tooth/teeth – per displaced tooth,A procedure following trauma where the position of the displaced tooth/teeth may be stabilized by splinting.,Repositioning/splinting displaced tooth/teeth,0,0,211.5,0,0,,,,,,,,,,,,,,,,,
387,Replantation and splinting of a tooth – per avulsed or intentionally removed tooth,"Replantation of a tooth that has been avulsed or intentionally removed, it may be held in the correct position by splinting.",Replantation/splinting of tooth,0,0,414.1,0,0,,,,,,,,,,,,,,,,,
388,Transplantation of tooth or tooth bud,Surgical access to and transplantation of an unerupted tooth or tooth bud to a new position prepared in the maxilla or mandible to receive it.,,,,,,,,,,,,,,,,,,,,,,,
389,Surgery to isolate and preserve neurovascular tissue,Additional surgery performed at the time of dento-alveolar surgery where damage to the neurovascular bundle may occur.,Surgery to isolate/preserve neurovascular tissue,2000,0,0,0,0,,,,,,,,,,,,,,,,,
391,Surgical intervention of a frenum,"This item includes frenotomy, frenuloplasty or frenectomy.",Frenectomy,0,0,189.95,0,0,,,,,,,,,,,,,,,,,
392,Drainage of abscess,Drainage and/or irrigation of an abscess other than through a root canal or at the time of extraction.,Drainage of abscess/cyst,55,0,104.05,0,0,,,,,,,,,,,,,,,,,
393,Surgery involving the maxillary antrum,"A general item to describe any surgery of the maxillary antrum, including lavage, antrostomy, recovery of a foreign body or closure of an oro-antral communication.",,,,,,,,,,,,,,,,,,,,,,,
394,Surgery for osteomyelitis,A general item to describe any surgery for the treatment of osteomyelitis.,,,,,,,,,,,,,,,,,,,,,,,
395,Repair of nerve trunk,A surgical procedure to repair a nerve trunk.,,,,,,,,,,,,,,,,,,,,,,,
399,Control of reactionary or secondary post-operative haemorrhage,This procedure describes the control of reactionary or secondary post-operative haemorrhage.,Insertion of sutures,65,0,0,0,0,,,,,,,,,,,,,,,,,
811,Passive removable appliance – per arch,"A removable, one-arch appliance that may be attached to the dentition by clasps or similar device designed to maintain the position of the teeth in the dentition. The appliance does not provide pressure directed at tooth movement.",Passive removable appliance ,215,0,0,0,0,,,,,,,,,,,,,,,,,
821,Active removable appliance – per arch,"A removable, one-arch appliance attached to the dentition by clasps or similar device that contains some elements capable of exerting pressure on either individual teeth or parts of the arch to achieve tooth or dental arch movement.",,,,,,,,,,,,,,,,,,,,,,,
823,Functional orthopaedic appliance – custom fabrication,The custom fabrication on models of an appliance whose primary action involves orthopaedic change of jaw shape or relationship utilising and modifying the effect of the environmental tissues.,,,,,,,,,,,,,,,,,,,,,,,
824,Functional orthopaedic appliance – prefabricated,"A prefabricated elastomeric appliance whose primary action is to maintain or guide the positioning of teeth during eruption, and/or to influence muscle activity of the mouth and lower face.",,,,,,,,,,,,,,,,,,,,,,,
825,Sequential plastic aligners – per arch,"The provision and periodic direct clinical review by a dentist or orthodontist of a series of custom-made plastic aligners to move teeth gradually. This item number includes additional procedures that may be required to facilitate the movement of teeth, such as composite buttons.",Sequential plastic liners - per arch,100,0,0,0,0,,,,,,,,,,,,,,,,,
829,Partial banding – per arch,"Application of bands and/or brackets to six teeth or fewer in the maxillary or mandibular arch, which can be attached to a resilient arch wire. The appliance is designed to correct either tooth position or arch form.",,,,,,,,,,,,,,,,,,,,,,,
831,Full arch banding – per arch,Application of bands and brackets for attachment of resilient arch wires to most of the teeth of the maxillary or mandibular arch to correct the position of teeth or to correct the arch form.,,,,,,,,,,,,,,,,,,,,,,,
213,Treatment of acute periodontal infection – per appointment,"Treatment of acute periodontal infection(s), may include establishing drainage and removal of calculus from the affected tooth or implant.",Treatment of acute periodontal infection ,110,55,74.85,37.9,6,,,,,,,,,,,,,,,,,
